time (secs),altitude (ft),speed (ft/s)
0,0,0.0
0.25,0.0,0.0
0.5,19.444444444444443,77.77777777777777
0.75,68.05555555555554,194.4444444444444
1.0,126.38888888888887,233.33333333333331
1.25,184.7222222222222,233.33333333333331
1.5,252.77777777777774,272.2222222222222
1.75,330.55555555555554,311.1111111111112
2.0,398.6111111111111,272.2222222222222
2.25,398.6111111111111,0.0
2.5,427.77777777777777,116.66666666666674
2.75,456.94444444444446,116.66666666666674
3.0,486.11111111111114,116.66666666666674
3.25,515.2777777777778,116.66666666666674
3.5,554.1666666666667,155.55555555555566
3.75,583.3333333333334,116.66666666666652
4.0,612.5,116.66666666666652
4.25,631.9444444444445,77.77777777777783
4.5,661.1111111111111,116.66666666666652
4.75,680.5555555555555,77.77777777777783
5.0,700.0,77.77777777777783
5.25,719.4444444444445,77.77777777777783
5.5,738.8888888888889,77.77777777777783
5.75,748.6111111111111,38.88888888888869
6.0,758.3333333333333,38.88888888888869
6.25,758.3333333333333,0.0
6.5,758.3333333333333,0.0
6.75,758.3333333333333,0.0
7.0,758.3333333333333,0.0
7.25,758.3333333333333,0.0
7.5,748.6111111111111,-38.88888888888869
7.75,748.6111111111111,0.0
8.0,738.8888888888889,-38.88888888888869
8.25,738.8888888888889,0.0
8.5,729.1666666666667,-38.88888888888869
8.75,729.1666666666667,0.0
9.0,719.4444444444446,-38.88888888888869
9.25,719.4444444444446,0.0
9.5,709.7222222222224,-38.88888888888869
9.75,700.0000000000002,-38.88888888888869
10.0,700.0000000000002,0.0
13.0,661.1111111111113,-12.96296296296297
16.0,602.7777777777779,-19.444444444444457
19.0,534.7222222222224,-22.68518518518518
22.0,466.66666666666686,-22.68518518518518
25.0,398.6111111111113,-22.68518518518518
28.0,330.55555555555577,-22.68518518518518
31.0,262.5000000000002,-22.68518518518518
34.0,194.44444444444468,-22.68518518518518
37.0,126.38888888888914,-22.68518518518518
40.0,58.3333333333336,-22.68518518518518
43.0,29.166666666666934,-9.722222222222221
46.0,9.722222222222491,-6.481481481481481
49.0,9.722222222222491,0.0
52.0,2.7000623958883807e-13,-3.2407407407407405
55.0,2.7000623958883807e-13,0.0
58.0,2.7000623958883807e-13,0.0
61.0,2.7000623958883807e-13,0.0
64.0,2.7000623958883807e-13,0.0
67.0,2.7000623958883807e-13,0.0
70.0,2.7000623958883807e-13,0.0
73.0,2.7000623958883807e-13,0.0
76.0,2.7000623958883807e-13,0.0
79.0,2.7000623958883807e-13,0.0
82.0,2.7000623958883807e-13,0.0
85.0,2.7000623958883807e-13,0.0
88.0,2.7000623958883807e-13,0.0
91.0,2.7000623958883807e-13,0.0
94.0,2.7000623958883807e-13,0.0
97.0,2.7000623958883807e-13,0.0
100.0,2.7000623958883807e-13,0.0
103.0,2.7000623958883807e-13,0.0
106.0,2.7000623958883807e-13,0.0
109.0,2.7000623958883807e-13,0.0
112.0,2.7000623958883807e-13,0.0
115.0,2.7000623958883807e-13,0.0
118.0,2.7000623958883807e-13,0.0
121.0,2.7000623958883807e-13,0.0
124.0,2.7000623958883807e-13,0.0
127.0,2.7000623958883807e-13,0.0
130.0,2.7000623958883807e-13,0.0
133.0,2.7000623958883807e-13,0.0
136.0,2.7000623958883807e-13,0.0
139.0,2.7000623958883807e-13,0.0
142.0,2.7000623958883807e-13,0.0
145.0,2.7000623958883807e-13,0.0
148.0,2.7000623958883807e-13,0.0
151.0,2.7000623958883807e-13,0.0
154.0,2.7000623958883807e-13,0.0
157.0,2.7000623958883807e-13,0.0
160.0,2.7000623958883807e-13,0.0
163.0,2.7000623958883807e-13,0.0
166.0,2.7000623958883807e-13,0.0
169.0,2.7000623958883807e-13,0.0
172.0,2.7000623958883807e-13,0.0
175.0,2.7000623958883807e-13,0.0
178.0,2.7000623958883807e-13,0.0
181.0,2.7000623958883807e-13,0.0
184.0,2.7000623958883807e-13,0.0
187.0,2.7000623958883807e-13,0.0
190.0,2.7000623958883807e-13,0.0
193.0,2.7000623958883807e-13,0.0
196.0,2.7000623958883807e-13,0.0
199.0,2.7000623958883807e-13,0.0
202.0,2.7000623958883807e-13,0.0
205.0,2.7000623958883807e-13,0.0
208.0,2.7000623958883807e-13,0.0
211.0,2.7000623958883807e-13,0.0
214.0,2.7000623958883807e-13,0.0
217.0,2.7000623958883807e-13,0.0
220.0,2.7000623958883807e-13,0.0
223.0,2.7000623958883807e-13,0.0
226.0,2.7000623958883807e-13,0.0
229.0,2.7000623958883807e-13,0.0
232.0,2.7000623958883807e-13,0.0
235.0,2.7000623958883807e-13,0.0
238.0,2.7000623958883807e-13,0.0
241.0,2.7000623958883807e-13,0.0
244.0,2.7000623958883807e-13,0.0
247.0,2.7000623958883807e-13,0.0
250.0,2.7000623958883807e-13,0.0
253.0,2.7000623958883807e-13,0.0
256.0,2.7000623958883807e-13,0.0
259.0,2.7000623958883807e-13,0.0
262.0,2.7000623958883807e-13,0.0
265.0,2.7000623958883807e-13,0.0
268.0,2.7000623958883807e-13,0.0
271.0,2.7000623958883807e-13,0.0
274.0,2.7000623958883807e-13,0.0
277.0,2.7000623958883807e-13,0.0
280.0,2.7000623958883807e-13,0.0
283.0,2.7000623958883807e-13,0.0
286.0,2.7000623958883807e-13,0.0
289.0,2.7000623958883807e-13,0.0
292.0,2.7000623958883807e-13,0.0
295.0,2.7000623958883807e-13,0.0
298.0,2.7000623958883807e-13,0.0
301.0,2.7000623958883807e-13,0.0
304.0,2.7000623958883807e-13,0.0
307.0,2.7000623958883807e-13,0.0
310.0,2.7000623958883807e-13,0.0
313.0,2.7000623958883807e-13,0.0
316.0,2.7000623958883807e-13,0.0
319.0,2.7000623958883807e-13,0.0
322.0,2.7000623958883807e-13,0.0
325.0,2.7000623958883807e-13,0.0
328.0,2.7000623958883807e-13,0.0
331.0,2.7000623958883807e-13,0.0
334.0,2.7000623958883807e-13,0.0
337.0,2.7000623958883807e-13,0.0
340.0,2.7000623958883807e-13,0.0
343.0,2.7000623958883807e-13,0.0
346.0,2.7000623958883807e-13,0.0
349.0,2.7000623958883807e-13,0.0
352.0,2.7000623958883807e-13,0.0
355.0,2.7000623958883807e-13,0.0
358.0,2.7000623958883807e-13,0.0
361.0,2.7000623958883807e-13,0.0
364.0,2.7000623958883807e-13,0.0
367.0,2.7000623958883807e-13,0.0
370.0,2.7000623958883807e-13,0.0
373.0,2.7000623958883807e-13,0.0
